State_Name,District_Name,Crop,Main_Season,Yield,Area,Production,Years_Grown,Suitability,state_enc,district_enc,crop_enc,season_enc
ANDHRA PRADESH,ANANTAPUR,BRINJAL,Kharif,21.044299204969935,392.6666666666667,8143.666666666667,3,130.72657952298198,1,24,18,0
ANDHRA PRADESH,ANANTAPUR,BRINJAL,Rabi,21.043472098991597,358.3333333333333,7740.333333333333,3,120.42608325939494,1,24,18,1
ANDHRA PRADESH,ANANTAPUR,BRINJAL,Whole Year,13.550115940377466,1077.5,14788.0,2,331.58006956422645,1,24,18,2
ANDHRA PRADESH,ANANTAPUR,CABBAGE,Kharif,15.65,6.0,80.5,2,11.39,1,24,19,0
ANDHRA PRADESH,ANANTAPUR,CABBAGE,Rabi,15.659090909090908,6.5,116.0,2,11.545454545454543,1,24,19,1
ANDHRA PRADESH,ANANTAPUR,CASHEWNUT,Kharif,0.3508771929824561,14.0,5.0,2,4.610526315789474,1,24,22,0
ANDHRA PRADESH,ANANTAPUR,CASHEWNUT,Whole Year,0.3333333333333333,9.0,3.0,1,3.0,1,24,22,2
ANDHRA PRADESH,ANANTAPUR,CASTOR SEED,Kharif,0.4298375444131588,6208.888888888889,2095.5,18,1864.7245691933144,1,24,25,0
ANDHRA PRADESH,ANANTAPUR,CASTOR SEED,Rabi,0.4784112381054155,164.0,78.0,3,49.78704674286324,1,24,25,1
ANDHRA PRADESH,ANANTAPUR,CASTOR SEED,Whole Year,0.4700794968113916,11447.0,5381.0,1,3434.4820476980867,1,24,25,2
ANDHRA PRADESH,ANANTAPUR,CITRUS FRUIT,Whole Year,11.00761780819948,747.0,7979.5,2,230.90457068491966,1,24,27,2
ANDHRA PRADESH,ANANTAPUR,COCONUT,Whole Year,6382.612163480635,786.2307692307693,4919579.538461538,13,4066.736528857612,1,24,28,2
ANDHRA PRADESH,ANANTAPUR,CORIANDER,Kharif,0.5092592592592593,82.0,42.5,2,25.105555555555554,1,24,32,0
ANDHRA PRADESH,ANANTAPUR,CORIANDER,Rabi,0.5896353788516774,4266.666666666667,2372.0,3,1280.653781227311,1,24,32,1
ANDHRA PRADESH,ANANTAPUR,CORIANDER,Whole Year,0.3350245546415161,3997.75,1275.0833333333333,12,1200.726014732785,1,24,32,2
ANDHRA PRADESH,ANANTAPUR,COTTON(LINT),Kharif,1.0490612824033532,13677.0,17663.833333333332,18,4105.529436769441,1,24,33,0
ANDHRA PRADESH,ANANTAPUR,COTTON(LINT),Rabi,1.5804470671643347,341.0,490.0,3,103.5482682402986,1,24,33,1
ANDHRA PRADESH,ANANTAPUR,COWPEA(LOBIA),Kharif,0.284082396978835,735.25,212.25,4,221.14544943818728,1,24,34,0
ANDHRA PRADESH,ANANTAPUR,COWPEA(LOBIA),Rabi,0.912502967711301,90.5,93.75,4,28.09750178062678,1,24,34,1
ANDHRA PRADESH,ANANTAPUR,CUCUMBER,Whole Year,0.0,34.5,0.0,2,10.549999999999999,1,24,35,2
